id,user_id,date,meal_name,calories,protein,carbs,fats,foods,created_at
42ee0d7c-6a5a-4167-b6b2-ed66fca8ebb8,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-07,Scanned Meal,580,24,68,23,"[{""fats"":""0.5g"",""name"":""Cooked White Rice"",""carbs"":""58g"",""protein"":""4g"",""calories"":260,""quantity"":1,""serving_size"":""1 plate (approx 200g)""},{""fats"":""22g"",""name"":""Fried Chicken"",""carbs"":""10g"",""protein"":""20g"",""calories"":320,""quantity"":1,""serving_size"":""1 piece (approx 100g)""}]",2026-01-07 05:07:47.531024+00
46f7001e-3b4c-4578-9b70-10c3ef5f5bd5,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-11,Scanned Meal,60,1,14,0,"[{""fats"":""0g"",""name"":""Yakult"",""carbs"":""14g"",""protein"":""1g"",""calories"":60,""quantity"":1,""serving_size"":""80ml""}]",2026-01-11 03:26:07.460243+00
5c3b2cf8-90d0-48b6-bd8a-c24a8bba63aa,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-04,Scanned Meal,400,8,90,0,"[{""fats"":""0g"",""name"":""White Rice"",""carbs"":""90g"",""protein"":""8g"",""calories"":400,""quantity"":1,""serving_size"":""1 plate""}]",2026-01-04 13:21:50.726673+00
5cbea5c3-6e70-4552-b983-e72fbd66cbec,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-08,Scanned Meal,60,0,9,2,"[{""fats"":""2g"",""name"":""Brownie"",""carbs"":""9g"",""protein"":""less than 1g"",""calories"":60,""quantity"":1,""serving_size"":""8.0g (1 piece)""}]",2026-01-08 09:31:48.269899+00
5de7db11-4993-40ed-a5da-3e15a7588434,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-05,Scanned Meal,360,35,0,24,"[{""fats"":""24g"",""name"":""Fried Fish"",""carbs"":""0g"",""protein"":""35g"",""calories"":360,""quantity"":1,""serving_size"":""1 piece (approx 150g)""}]",2026-01-05 08:51:55.186521+00
6d269ed4-be51-4adf-94c3-8911f3adff1f,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-06,Scanned Meal,260,5,54,2,"[{""fats"":""1.2g"",""name"":""Koko Krunch"",""carbs"":""27g"",""protein"":""2.6g"",""calories"":130,""quantity"":2,""serving_size"":""1 serving""}]",2026-01-06 15:06:27.128423+00
6e0328c8-66e0-40a8-927e-226ccba688d9,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-11,Scanned Meal,1330,74,203,20,"[{""fats"":""0.5g"",""name"":""Cooked White Rice"",""carbs"":""58g"",""protein"":""4g"",""calories"":260,""quantity"":3.5,""serving_size"":""1 serving (approx 200g)""},{""fats"":""6g"",""name"":""Grilled Chicken"",""carbs"":""0g"",""protein"":""20g"",""calories"":140,""quantity"":3,""serving_size"":""4 pieces (approx 100g)""}]",2026-01-11 04:16:42.168896+00
6f718868-006a-408e-b0c7-2d751c57ad78,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-05,Scanned Meal,120,2,15,7,"[{""fats"":""0.7g"",""name"":""Potato Chip"",""carbs"":""1.5g"",""protein"":""0.2g"",""calories"":12,""quantity"":10,""serving_size"":""1 chip (approx 2g)""}]",2026-01-05 09:43:56.476701+00
78b2d17c-83b1-439d-ab36-f4b921d359b9,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-08,Scanned Meal,320,16,42,14,"[{""fats"":""7g"",""name"":""Rebisco Straberry"",""carbs"":""21g"",""protein"":""8g"",""calories"":160,""quantity"":2,""serving_size"":""32g""}]",2026-01-08 09:30:23.854514+00
7b060cb2-be7b-4a15-923d-ac3b950af08a,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-08,Scanned Meal,400,8,90,0,"[{""fats"":""0g"",""name"":""White Rice"",""carbs"":""90g"",""protein"":""8g"",""calories"":400,""quantity"":1,""serving_size"":""1 plate""}]",2026-01-08 09:30:58.656884+00
8444dc73-005f-4a19-bd12-419616521d20,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-07,Scanned Meal,216,4,27,13,"[{""fats"":""0.7g"",""name"":""Potato Chip"",""carbs"":""1.5g"",""protein"":""0.2g"",""calories"":12,""quantity"":18,""serving_size"":""1 chip (approx 2g)""}]",2026-01-07 11:11:42.690839+00
882a6537-ea1a-4fdc-8538-937dcf0ffbee,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-05,Scanned Meal,260,5,54,2,"[{""fats"":""1.2g"",""name"":""Koko Krunch"",""carbs"":""27g"",""protein"":""2.6g"",""calories"":130,""quantity"":2,""serving_size"":""1 serving""}]",2026-01-05 13:36:45.179804+00
8a7482a6-9641-4bef-9b28-212f09e8afbe,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-06,Scanned Meal,60,0,9,2,"[{""fats"":""2g"",""name"":""Brownie"",""carbs"":""9g"",""protein"":""less than 1g"",""calories"":60,""quantity"":1,""serving_size"":""8.0g (1 piece)""}]",2026-01-06 07:35:33.457168+00
8cc23fb1-ffc1-41ff-9138-d7254cf74f97,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-04,Scanned Meal,260,5,54,2,"[{""fats"":""1.2g"",""name"":""Koko Krunch"",""carbs"":""27g"",""protein"":""2.6g"",""calories"":130,""quantity"":2,""serving_size"":""1 serving""}]",2026-01-04 12:39:46.202167+00
96cd2c69-44c0-4acd-bfbb-4298c72f2b6c,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-09,Scanned Meal,150,2,19,7,"[{""fats"":""7g"",""name"":""Cream-O"",""carbs"":""19g"",""protein"":""2g"",""calories"":150,""quantity"":1,""serving_size"":""3 sandwiches (30g)""}]",2026-01-09 09:30:33.91248+00
a0549b02-5cf1-4859-9bcc-e9d3444ad414,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-04,Scanned Meal,320,26,0,23,"[{""fats"":""23g"",""name"":""Grilled Chicken Leg"",""carbs"":""0g"",""protein"":""26g"",""calories"":320,""quantity"":1,""serving_size"":""1 leg (approx 170g)""}]",2026-01-04 13:21:25.375716+00
a1a98205-da68-44d6-a1b6-5e9a30e77326,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,400,8,90,0,"[{""fats"":""0g"",""name"":""White Rice"",""carbs"":""90g"",""protein"":""8g"",""calories"":400,""quantity"":1,""serving_size"":""1 plate""}]",2026-01-02 07:17:29.756869+00
abcc46d6-34c1-4ccf-87e4-9d090a2f7de6,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-09,Scanned Meal,2560,315,0,135,"[{""fats"":""10g"",""name"":""Thinly Sliced Raw Beef"",""carbs"":""0g"",""protein"":""35g"",""calories"":240,""quantity"":9,""serving_size"":""approx 200g""},{""fats"":""9g"",""name"":""Oil"",""carbs"":""0g"",""protein"":""0g"",""calories"":80,""quantity"":5,""serving_size"":""approx 2 tsp""}]",2026-01-09 13:30:56.327423+00
b216c0be-9767-47bd-9fdf-a0e82000bb3a,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-07,Scanned Meal,260,5,54,2,"[{""fats"":""1.2g"",""name"":""Koko Krunch"",""carbs"":""27g"",""protein"":""2.6g"",""calories"":130,""quantity"":2,""serving_size"":""1 serving""}]",2026-01-07 11:12:13.202737+00
b745950b-47d2-4d66-b2b7-5b03f93b6b5d,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,140,12,2,9,"[{""fats"":""9g"",""name"":""Omelette"",""carbs"":""2g"",""protein"":""12g"",""calories"":140,""quantity"":1,""serving_size"":""1/2 omelette (approx 100g)""}]",2026-01-02 15:16:22.345997+00
bb0087b7-57e4-4a3f-bfa0-20f2eb3967e3,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-05,Scanned Meal,400,8,90,0,"[{""fats"":""0g"",""name"":""White Rice"",""carbs"":""90g"",""protein"":""8g"",""calories"":400,""quantity"":1,""serving_size"":""1 plate""}]",2026-01-05 08:53:12.994719+00
bb4d7da4-c614-4fce-99e1-ee6fc544b20b,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,540,43,0,40,"[{""fats"":""40g"",""name"":""Pork Ribs"",""carbs"":""0g"",""protein"":""43g"",""calories"":540,""quantity"":1,""serving_size"":""3 pieces (approx 170g)""}]",2026-01-02 15:15:47.826477+00
bbd71929-e715-4861-a542-3afd345435d1,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-04,Scanned Meal,540,25,60,22,"[{""fats"":""22g"",""name"":""Garlic Fried Rice with Corned Beef"",""carbs"":""60g"",""protein"":""25g"",""calories"":540,""quantity"":1,""serving_size"":""1 container (approx 400g)""}]",2026-01-04 05:42:11.111767+00
bf013db7-5349-4c40-bbbe-5cdcd90e43c5,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,150,1,21,6,"[{""fats"":""6g"",""name"":""Piattos"",""carbs"":""21g"",""protein"":""1g"",""calories"":150,""quantity"":1,""serving_size"":""1 cup (30g)""}]",2026-01-02 11:38:09.989538+00
c0f4416a-dba6-42d5-b286-15738a36dcf0,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-08,Scanned Meal,320,26,0,23,"[{""fats"":""23g"",""name"":""Grilled Chicken Leg"",""carbs"":""0g"",""protein"":""26g"",""calories"":320,""quantity"":1,""serving_size"":""1 leg (approx 170g)""}]",2026-01-08 09:30:43.821784+00
c694ff2d-0d52-46d4-9a86-d78d747619c3,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,220,15,8,14,"[{""fats"":""14g"",""name"":""Fried Chicken"",""carbs"":""8g"",""protein"":""15g"",""calories"":220,""quantity"":1,""serving_size"":""1 piece""}]",2026-01-02 07:18:00.993555+00
d8296502-8a14-418b-b1cc-f6485d357ae8,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,440,8,90,6,"[{""fats"":""6g"",""name"":""Garlic Rice"",""carbs"":""90g"",""protein"":""8g"",""calories"":440,""quantity"":1,""serving_size"":""1 container (approx 250g)""}]",2026-01-02 15:16:55.822375+00
ec86cbb8-0193-4602-8455-d002236af6e2,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-10,Scanned Meal,540,40,0,40,"[{""fats"":""40g"",""name"":""Chicken"",""carbs"":""0g"",""protein"":""40g"",""calories"":540,""quantity"":1,""serving_size"":""1 piece (approx 120g)""}]",2026-01-10 12:21:05.474301+00
ee4f4c3a-a9f6-487d-88c9-99dcd9e37176,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-10,Scanned Meal,500,24,64,17,"[{""fats"":""0.5g"",""name"":""Cooked White Rice"",""carbs"":""58g"",""protein"":""4g"",""calories"":260,""quantity"":1,""serving_size"":""1 plate (approx 200g)""},{""fats"":""16g"",""name"":""Braised Pork"",""carbs"":""6g"",""protein"":""20g"",""calories"":240,""quantity"":1,""serving_size"":""4 pieces (approx 120g)""}]",2026-01-10 05:13:11.104271+00
fdc9ea6f-e05a-4485-a109-221583a8cc98,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-09,Scanned Meal,400,8,90,0,"[{""fats"":""0g"",""name"":""White Rice"",""carbs"":""90g"",""protein"":""8g"",""calories"":400,""quantity"":1,""serving_size"":""1 plate""}]",2026-01-09 09:30:55.253488+00
